ID,Region,Region Link,Estate,Estate Link,Status,Price,Price per feet(built-up),Price per feet(salesable area),Block and unit number,Floor,Room,Gross area(sq feet),Net floor area(sq feet),Management Fee,Property age(year),Address,Views #,Bookmarked #,Ads or renew date,Modified date,User last login,Expire date,Scrape Date
605895,"Lai Chi Kok,Cheung Sha Wan,Mei Foo,Lai King",https://www.28hse.com/en/buy/district-g28,The Sparkle,https://www.28hse.com/en/buy/estate-2508,For sale,13.6,12662.0,17347.0,,,,"1,074 ",784 ,,9.0,,245,0,24 days before,24 days before,3 days before,2018.09.10,07-07-2018
608918,"To Kwa Wan,Kowloon City, Kai Tak",https://www.28hse.com/en/buy/district-g25,Appartment,https://www.28hse.com/en/buy/estate-8966,For sale,4.5,,13554.0,,,,,332 ,,,,425,0,20 days before,10 days before,2 days before,2018.09.15,07-07-2018
620172,"Kowloon Bay,Ngau Chi Wan",https://www.28hse.com/en/buy/district-g23,King Lai Court,https://www.28hse.com/en/buy/estate-5093,For sale,4.0,7767.0,9975.0,,High level,2,515 ,401 ,,29.0,,111,0,20 days before,1 hours before,,2018.09.15,07-07-2018
608873,"Tai Kok Tsui,Olympic,Kowloon Station",https://www.28hse.com/en/buy/district-g29,Metro Harbour View,https://www.28hse.com/en/buy/estate-2564,For sale,13.45,15389.0,22122.0,,High level,4,874 ,608 ,,15.0,,215,0,20 days before,20 days before,7 days before,2018.09.15,07-07-2018
547643,"Kowloon Bay,Ngau Chi Wan",https://www.28hse.com/en/buy/district-g23,Kingsford Terrace,https://www.28hse.com/en/buy/estate-2066,For sale,6.8,9798.0,11486.0,,High level,3,694 ,592 ,,15.0,,655,0,20 days before,1 hours before,,2018.09.15,07-07-2018
586682,"Tai Kok Tsui,Olympic,Kowloon Station",https://www.28hse.com/en/buy/district-g29,Metro Harbour View,https://www.28hse.com/en/buy/estate-2564,For sale,12.98,14851.0,21349.0,,,,874 ,608 ,,15.0,,447,0,54 days before,20 days before,7 days before,2018.08.12,07-07-2018
608877,"Tsim Sha Tsui,Jordan",https://www.28hse.com/en/buy/district-g31,The Lodge,https://www.28hse.com/en/buy/estate-2911,For sale,4.5,13761.0,22059.0,,,,327 ,204 ,,,,355,0,20 days before,20 days before,1 days before,2018.09.15,07-07-2018
608292,"Tai Kok Tsui,Olympic,Kowloon Station",https://www.28hse.com/en/buy/district-g29,Sorrento,https://www.28hse.com/en/buy/estate-2581,For sale,52.0,,37063.0,,High level,4,,"1,403 ",,15.0,,145,0,21 days before,11 days before,6 days before,2018.09.14,07-07-2018
585458,"To Kwa Wan,Kowloon City, Kai Tak",https://www.28hse.com/en/buy/district-g25,Appartment,https://www.28hse.com/en/buy/estate-8966,For sale,5.08,,16282.0,,Mid level,2,,312 ,,,,1047,0,56 days before,20 days before,1 days before,2018.08.10,07-07-2018
546014,"Kwun Tong,Ngau Tau Kok",https://www.28hse.com/en/buy/district-g22,Shun Chi Court,https://www.28hse.com/en/buy/estate-2020,For sale,6.9,8880.0,10518.0,,High level,3,777 ,656 ,,39.0,,1886,0,20 days before,4 days before,2 days before,2018.09.15,07-07-2018
603239,"Lai Chi Kok,Cheung Sha Wan,Mei Foo,Lai King",https://www.28hse.com/en/buy/district-g28,Apartment,https://www.28hse.com/en/buy/estate-2506,For sale,6.0,13157.0,15957.0,,,2,456 ,376 ,,,,210,0,28 days before,28 days before,3 days before,2018.09.06,07-07-2018
608937,"Lai Chi Kok,Cheung Sha Wan,Mei Foo,Lai King",https://www.28hse.com/en/buy/district-g28,The Pacifica,https://www.28hse.com/en/buy/estate-2450,For sale,9.48,13620.0,18698.0,,,,696 ,507 ,,13.0,,140,0,20 days before,20 days before,3 days before,2018.09.15,07-07-2018
