ID,Region,Region Link,Estate,Estate Link,Block and unit number,Floor,Room,Gross area(sq feet),Net floor area(sq feet),Property age(year),Address
314058,"ShaTin,Tai Wai,Fotan",https://www.28hse.com/en/buy/district-g44,Greenwood Garden,https://www.28hse.com/en/buy/estate-4117,,Mid level,2,409.0,271.0,,
604542,Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,The Grandiose ,https://www.28hse.com/en/buy/estate-4005,,Low level,2,683.0,516.0,12.0,
572158,Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,Oscar By The Sea,https://www.28hse.com/en/buy/estate-4010,,Low level,,698.0,521.0,16.0,
586386,Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,Lohas Park,https://www.28hse.com/en/buy/estate-4064,,Low level,,946.0,705.0,9.0,
607672,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Central Park Towers,https://www.28hse.com/en/buy/estate-4377,2,High level,2,666.0,510.0,9.0,
622399,,,,,,Mid level,2,,587.0,,
314029,"ShaTin,Tai Wai,Fotan",https://www.28hse.com/en/buy/district-g44,Garden Rivera,https://www.28hse.com/en/buy/estate-4107,,Mid level,open style,368.0,242.0,,
621657,Tuen Mun,https://www.28hse.com/en/buy/district-g48,Brilliant Garden,https://www.28hse.com/en/buy/estate-4428,,,,2222.0,,29.0,
615068,Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,Lohas Park,https://www.28hse.com/en/buy/estate-4064,,High level,3,,782.0,9.0,
621568,Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,Kwong Ming Court,https://www.28hse.com/en/buy/estate-4039,,,2,574.0,429.0,20.0,
621563,"ShaTin,Tai Wai,Fotan",https://www.28hse.com/en/buy/district-g44,Festival City,https://www.28hse.com/en/buy/estate-5547,,Mid level,3,982.0,742.0,8.0,
619304,Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,Park Central,https://www.28hse.com/en/buy/estate-4007,,Low level,2,581.0,438.0,13.0,
621572,Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,Chung Ming Court,https://www.28hse.com/en/buy/estate-4073,,,2,515.0,401.0,25.0,
314048,"ShaTin,Tai Wai,Fotan",https://www.28hse.com/en/buy/district-g44,Golden Lion Garden,https://www.28hse.com/en/buy/estate-4094,,Mid level,1,452.0,282.0,,
621576,Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,King Lam Estate,https://www.28hse.com/en/buy/estate-5916,,,,,207.0,,
621566,Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,Kwong Ming Court,https://www.28hse.com/en/buy/estate-4039,,,3,855.0,639.0,20.0,
471403,"ShaTin,Tai Wai,Fotan",https://www.28hse.com/en/buy/district-g44,SHATIN NEW TOWN,https://www.28hse.com/en/buy/estate-4082,,,2,418.0,326.0,34.0,
621539,"ShaTin,Tai Wai,Fotan",https://www.28hse.com/en/buy/district-g44,Wai Wah Centre,https://www.28hse.com/en/buy/estate-4089,,Low level,1,417.0,308.0,32.0,
397745,"ShaTin,Tai Wai,Fotan",https://www.28hse.com/en/buy/district-g44,Greenwood Terrace,https://www.28hse.com/en/buy/estate-6308,,Mid level,3,1360.0,1143.0,30.0,
621570,Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,Kwong Ming Court,https://www.28hse.com/en/buy/estate-4039,,,,855.0,639.0,20.0,
621573,Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,Ho Ming Court,https://www.28hse.com/en/buy/estate-4027,,,1,,381.0,28.0,
621542,Tuen Mun,https://www.28hse.com/en/buy/district-g48,NAPA,https://www.28hse.com/en/buy/estate-8945,,,2,,458.0,1.0,
508777,Tuen Mun,https://www.28hse.com/en/buy/district-g48,Tuen Mun Town Plaza,https://www.28hse.com/en/buy/estate-4433,,Mid level,1,445.0,326.0,31.0,
235075,"ShaTin,Tai Wai,Fotan",https://www.28hse.com/en/buy/district-g44,Shatin 33,https://www.28hse.com/en/buy/estate-6947,,Low level,4,1900.0,1482.0,33.0,
611904,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,The Woodside,https://www.28hse.com/en/buy/estate-8375,,,,,793.0,4.0,
608635,Tuen Mun,https://www.28hse.com/en/buy/district-g48,Greenland Garden,https://www.28hse.com/en/buy/estate-4431,,,,567.0,429.0,29.0,
608610,Tuen Mun,https://www.28hse.com/en/buy/district-g48,Trend Plaza,https://www.28hse.com/en/buy/estate-4458,,,,,346.0,30.0,
611235,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,The Woodsville,https://www.28hse.com/en/buy/estate-8113,,,,,2429.0,4.0,
621555,"Tsuen Wan,Tai Wo Hau",https://www.28hse.com/en/buy/district-g49,Tsuen Tak Garden,https://www.28hse.com/en/buy/estate-4580,,High level,2,,340.0,,
621557,"Tsuen Wan,Tai Wo Hau",https://www.28hse.com/en/buy/district-g49,Kam Fung Garden,https://www.28hse.com/en/buy/estate-4586,,High level,2,,340.0,,
608645,Tuen Mun,https://www.28hse.com/en/buy/district-g48,Rosedale Garden,https://www.28hse.com/en/buy/estate-4468,,,,645.0,498.0,22.0,
621581,Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,Park Central,https://www.28hse.com/en/buy/estate-4007,,,2,581.0,438.0,13.0,
621580,Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,Beverly Garden,https://www.28hse.com/en/buy/estate-4022,,,2,504.0,431.0,20.0,
621553,"ShaTin,Tai Wai,Fotan",https://www.28hse.com/en/buy/district-g44,Ka Tin Court,https://www.28hse.com/en/buy/estate-4129,嘉康閣,High level,2,575.0,469.0,30.0,
415580,"ShaTin,Tai Wai,Fotan",https://www.28hse.com/en/buy/district-g44,Sky One,https://www.28hse.com/en/buy/estate-5900,,Low level,open style,,320.0,8.0,
489257,Sham Tseng,https://www.28hse.com/en/buy/district-g56,Pearl Island Garden,https://www.28hse.com/en/buy/estate-4519,,,,938.0,694.0,26.0,
621495,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Riva,https://www.28hse.com/en/buy/estate-7707,,,,1120.0,877.0,5.0,
621498,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,The Reach,https://www.28hse.com/en/buy/estate-7742,3座B,Mid level,2,598.0,440.0,5.0,
621496,Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,Twin Peaks,https://www.28hse.com/en/buy/estate-8578,,Mid level,2,,528.0,2.0,
621505,"Kwai Chung,Kwai Fong",https://www.28hse.com/en/buy/district-g50,Yi Fung Court,https://www.28hse.com/en/buy/estate-4694,,,,696.0,559.0,19.0,
621489,Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,Corinthia by the Sea,https://www.28hse.com/en/buy/estate-8560,,,1,,321.0,2.0,
314041,"ShaTin,Tai Wai,Fotan",https://www.28hse.com/en/buy/district-g44,City One Shatin,https://www.28hse.com/en/buy/estate-4080,,Mid level,2,395.0,284.0,,
621507,Tsing Yi,https://www.28hse.com/en/buy/district-g51,Rambler Crest,https://www.28hse.com/en/buy/estate-4652,,,,638.0,451.0,15.0,
621502,Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,Ying Ming Court,https://www.28hse.com/en/buy/estate-4038,D座1室,High level,3,710.0,551.0,29.0,
621516,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Yoho Town,https://www.28hse.com/en/buy/estate-4250,五座,Mid level,2,528.0,393.0,15.0,
618635,Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,The Parkside,https://www.28hse.com/en/buy/estate-8533,,High level,1,,399.0,2.0,
621535,Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,Beverly Garden,https://www.28hse.com/en/buy/estate-4022,,,,692.0,592.0,20.0,
621588,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,The Reach,https://www.28hse.com/en/buy/estate-7742,,,2,,424.0,4.0,
621509,Tuen Mun,https://www.28hse.com/en/buy/district-g48,Parkland Villas,https://www.28hse.com/en/buy/estate-4411,,High level,2,572.0,389.0,18.0,
621594,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Yoho Town,https://www.28hse.com/en/buy/estate-4250,,,2,,393.0,13.0,
621597,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Yoho Midtown,https://www.28hse.com/en/buy/estate-5542,,,4,1153.0,898.0,,
337263,"Tai Po,Tai Wo",https://www.28hse.com/en/buy/district-g45,Parc Versailles,https://www.28hse.com/en/buy/estate-4152,,,,,945.0,21.0,
621673,Ma On Shan,https://www.28hse.com/en/buy/district-g43,Kam Fung Court,https://www.28hse.com/en/buy/estate-4054,錦萱閣高層3室,High level,3,832.0,604.0,21.0,
621487,Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,Park Central,https://www.28hse.com/en/buy/estate-4007,,Low level,2,,406.0,13.0,
621523,Sham Tseng,https://www.28hse.com/en/buy/district-g56,Rhine Garden ,https://www.28hse.com/en/buy/estate-4545,,Low level,3,832.0,681.0,26.0,
621524,Tsing Yi,https://www.28hse.com/en/buy/district-g51,Rambler Crest,https://www.28hse.com/en/buy/estate-4652,,,,957.0,689.0,15.0,
621433,Tsing Yi,https://www.28hse.com/en/buy/district-g51,Mount Haven,https://www.28hse.com/en/buy/estate-4654,,,,951.0,780.0,19.0,
508120,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Uptown,https://www.28hse.com/en/buy/estate-6210,,Mid level,2,689.0,523.0,6.0,
618323,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,The Parcville,https://www.28hse.com/en/buy/estate-4252,,,,609.0,460.0,17.0,
621461,Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,The Beaumount,https://www.28hse.com/en/buy/estate-7556,,,3,915.0,694.0,2.0,
621438,"Tsuen Wan,Tai Wo Hau",https://www.28hse.com/en/buy/district-g49,Luk Yeung Sun Chuen,https://www.28hse.com/en/buy/estate-4579,,High level,2,518.0,451.0,32.0,
621532,Sham Tseng,https://www.28hse.com/en/buy/district-g56,Hong Kong Gold Coast,https://www.28hse.com/en/buy/estate-4501,,,,888.0,685.0,23.0,
621501,Tuen Mun,https://www.28hse.com/en/buy/district-g48,South Hillcrest,https://www.28hse.com/en/buy/estate-4416,,,,811.0,588.0,13.0,
621478,Tsing Yi,https://www.28hse.com/en/buy/district-g51,Mount Haven,https://www.28hse.com/en/buy/estate-4654,,,,652.0,545.0,19.0,
621481,Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,Park Central,https://www.28hse.com/en/buy/estate-4007,,Mid level,3,,684.0,13.0,
621471,Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,Metro City,https://www.28hse.com/en/buy/estate-4000,,Mid level,3,724.0,526.0,18.0,
600982,Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,La Cite Noble ,https://www.28hse.com/en/buy/estate-4004,,High level,2,,436.0,19.0,
621483,Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,East Point,https://www.28hse.com/en/buy/estate-4009,,,,588.0,462.0,21.0,
621363,Tsing Yi,https://www.28hse.com/en/buy/district-g51,Villa Esplanada,https://www.28hse.com/en/buy/estate-4651,,,,1019.0,863.0,20.0,
621437,Ma On Shan,https://www.28hse.com/en/buy/district-g43,Sunshine City,https://www.28hse.com/en/buy/estate-4040,,Mid level,2,687.0,568.0,22.0,
621453,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,The Reach,https://www.28hse.com/en/buy/estate-7742,,Mid level,2,575.0,424.0,5.0,
621379,Sham Tseng,https://www.28hse.com/en/buy/district-g56,Bellagio,https://www.28hse.com/en/buy/estate-4540,,Low level,3,1208.0,935.0,15.0,
621473,Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,Park Central,https://www.28hse.com/en/buy/estate-4007,,,2,,465.0,13.0,
594800,"Sai Kung,Clear Water Bay",https://www.28hse.com/en/buy/district-g41,Village,https://www.28hse.com/en/buy/estate-4029,,Ground Floor,open style,300.0,,,
586826,"Sai Kung,Clear Water Bay",https://www.28hse.com/en/buy/district-g41,Village,https://www.28hse.com/en/buy/estate-4029,,Ground Floor,3,700.0,,,
621485,Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,Oscar By The Sea,https://www.28hse.com/en/buy/estate-4010,,,,695.0,526.0,16.0,
586818,"Sai Kung,Clear Water Bay",https://www.28hse.com/en/buy/district-g41,Village,https://www.28hse.com/en/buy/estate-4029,,Mid level,,700.0,,,
586823,"Sai Kung,Clear Water Bay",https://www.28hse.com/en/buy/district-g41,Village,https://www.28hse.com/en/buy/estate-4029,,,2,1305.0,,,
575141,"Sai Kung,Clear Water Bay",https://www.28hse.com/en/buy/district-g41,Village,https://www.28hse.com/en/buy/estate-4029,,High level,3,700.0,,,
584051,"Sai Kung,Clear Water Bay",https://www.28hse.com/en/buy/district-g41,Village,https://www.28hse.com/en/buy/estate-4029,,Ground Floor,2,700.0,,,
570976,"Sai Kung,Clear Water Bay",https://www.28hse.com/en/buy/district-g41,Village,https://www.28hse.com/en/buy/estate-4029,,High level,3,700.0,,,
263225,"ShaTin,Tai Wai,Fotan",https://www.28hse.com/en/buy/district-g44,Festival City,https://www.28hse.com/en/buy/estate-5547,,High level,3,1103.0,844.0,,
561747,"ShaTin,Tai Wai,Fotan",https://www.28hse.com/en/buy/district-g44,Grandway Garden,https://www.28hse.com/en/buy/estate-4205,,,,,429.0,29.0,
621384,Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,The Beaumount,https://www.28hse.com/en/buy/estate-7556,1,Low level,2,657.0,498.0,2.0,
