ID,Status,Price,Price per feet(built-up),Price per feet(salesable area),Views #,Bookmarked #,Ads or renew date,Modified date,User last login,Expire date,Scrape Date
572732,For sale,5.1,9375.0,11916.0,340,0,2 months before,22 days before,1 days before,2018.07.22,07-07-2018
607562,For sale,15.0,16269.0,21186.0,200,0,22 days before,,1 days before,2018.09.13,07-07-2018
596998,For sale,5.44,10563.0,13600.0,1320,0,37 days before,16 days before,6 days before,2018.08.28,07-07-2018
594744,For sale,18.93,,16291.0,410,0,41 days before,9 days before,6 days before,2018.08.25,07-07-2018
607308,For sale,6.2,8021.0,10299.0,225,0,22 days before,,5 days before,2018.09.12,07-07-2018
607366,For sale,5.5,7857.0,,230,0,22 days before,22 days before,5 hours before,2018.09.12,07-07-2018
607310,For sale,8.3,8291.0,10710.0,280,0,22 days before,22 days before,57 minutes before,2018.09.12,07-07-2018
607302,For sale,13.5,13733.0,17976.0,465,0,22 days before,,22 days before,2018.09.12,07-07-2018
606307,For sale,6.3,10015.0,11434.0,265,0,24 days before,12 minutes before,1 hours before,2018.09.11,07-07-2018
603247,For sale,9.45,13755.0,18138.0,300,0,28 days before,28 days before,1 days before,2018.09.06,07-07-2018
603246,For sale,6.18,14272.0,19808.0,195,0,28 days before,28 days before,1 days before,2018.09.06,07-07-2018
603245,For sale,7.28,,17333.0,185,0,28 days before,28 days before,1 days before,2018.09.06,07-07-2018
603243,For sale,7.28,,15391.0,225,0,28 days before,28 days before,1 days before,2018.09.06,07-07-2018
607294,For sale,9.5,,12838.0,155,0,22 days before,,12 days before,2018.09.12,07-07-2018
596543,For sale,7.2,12245.0,15551.0,150,0,38 days before,22 days before,8 days before,2018.08.28,07-07-2018
607321,For sale,5.78,15332.0,20069.0,288,0,22 days before,5 days before,8 days before,2018.09.12,07-07-2018
607273,For sale,6.9,11183.0,15646.0,295,0,22 days before,,12 days before,2018.09.12,07-07-2018
591650,For sale,5.6,,22764.0,2151,0,46 days before,22 days before,17 days before,2018.08.21,07-07-2018
498614,For sale,4.78,8199.0,10694.0,706,0,58 days before,22 days before,5 days before,2018.08.08,07-07-2018
603241,For sale,6.2,11676.0,14286.0,282,0,28 days before,28 days before,21 hours before,2018.09.06,07-07-2018
600964,For sale,6.28,7602.0,9662.0,1357,0,31 days before,16 days before,21 hours before,2018.09.03,07-07-2018
594440,For sale,9.5,9926.0,13768.0,592,1,42 days before,42 days before,1 days before,2018.08.24,07-07-2018
601409,For sale,6.4,9248.0,13061.0,352,0,31 days before,30 days before,21 hours before,2018.09.04,07-07-2018
607285,For sale,10.0,,13369.0,315,0,22 days before,,13 days before,2018.09.12,07-07-2018
598555,For sale,12.8,,10492.0,245,0,35 days before,22 days before,6 days before,2018.08.31,07-07-2018
607287,For sale,6.0,,11719.0,270,0,22 days before,22 days before,6 days before,2018.09.12,07-07-2018
602825,For sale,6.1,10132.0,12398.0,481,0,29 days before,29 days before,21 hours before,2018.09.06,07-07-2018
607290,For sale,21.2,,18089.0,305,0,22 days before,22 days before,2 days before,2018.09.12,07-07-2018
607254,For sale,7.3,11831.0,15699.0,285,0,23 days before,,12 days before,2018.09.12,07-07-2018
607255,For sale,13.75,,22285.0,180,0,23 days before,21 days before,3 days before,2018.09.12,07-07-2018
601162,For sale,3.2,8000.0,8000.0,1501,0,31 days before,31 days before,7 days before,2018.09.04,07-07-2018
523132,For sale,7.5,7295.0,9482.0,1701,0,22 days before,22 days before,1 days before,2018.09.12,07-07-2018
607262,For sale,19.25,,20392.0,100,0,22 days before,21 days before,3 days before,2018.09.12,07-07-2018
607264,For sale,7.65,12399.0,16452.0,285,0,22 days before,,12 days before,2018.09.12,07-07-2018
606071,For sale,6.5,8953.0,11840.0,320,0,24 days before,22 days before,22 days before,2018.09.11,07-07-2018
596883,For sale,6.83,9552.0,12329.0,365,0,38 days before,22 days before,22 days before,2018.08.28,07-07-2018
595286,For sale,6.2,10164.0,13025.0,350,0,40 days before,22 days before,22 days before,2018.08.26,07-07-2018
529297,For sale,4.98,7603.0,8768.0,697,1,27 days before,27 days before,2 hours before,2018.09.08,07-07-2018
586639,For sale,22.0,,19064.0,730,0,54 days before,22 days before,6 days before,2018.08.12,07-07-2018
607258,For sale,6.68,9896.0,11537.0,185,0,22 days before,22 days before,23 days before,2018.09.12,07-07-2018
607210,For sale,7.08,,14132.0,295,0,23 days before,,3 days before,2018.09.12,07-07-2018
568578,For sale,5.18,11991.0,15938.0,576,0,2 months before,22 days before,1 days before,2018.07.16,07-07-2018
495823,For sale,4.6,10000.0,11675.0,1200,0,23 days before,23 days before,8 days before,2018.09.12,07-07-2018
607214,For sale,9.45,10465.0,13877.0,115,0,23 days before,21 days before,3 days before,2018.09.12,07-07-2018
418242,For sale,13.9,,19801.0,1081,0,38 days before,38 days before,6 days before,2018.08.28,07-07-2018
607216,For sale For rent,14.0,9150.0,10929.0,785,0,23 days before,23 days before,7 days before,2018.09.12,07-07-2018
600260,For sale,10.98,12092.0,15983.0,316,0,32 days before,16 days before,2 days before,2018.09.02,07-07-2018
607232,For sale,6.49,8204.0,10302.0,355,0,23 days before,23 days before,23 days before,2018.09.12,07-07-2018
607236,For sale,6.88,11043.0,14098.0,290,0,23 days before,,6 days before,2018.09.12,07-07-2018
595279,For sale,5.3,9447.0,12771.0,495,0,40 days before,20 days before,1 days before,2018.08.26,07-07-2018
607151,For sale,13.0,15719.0,19727.0,230,0,23 days before,23 days before,12 hours before,2018.09.12,07-07-2018
604895,For sale,6.0,12448.0,16438.0,220,0,26 days before,26 days before,9 hours before,2018.09.09,07-07-2018
601632,For sale,9.0,10989.0,14827.0,470,0,31 days before,24 days before,2 days before,2018.09.04,07-07-2018
574909,For sale,5.3,5968.0,8192.0,1217,1,2 months before,16 days before,2 days before,2018.07.25,07-07-2018
607156,For sale,8.95,9460.0,12695.0,155,0,23 days before,23 days before,3 days before,2018.09.12,07-07-2018
604904,For sale,5.18,11990.0,15745.0,265,0,26 days before,10 days before,9 hours before,2018.09.09,07-07-2018
607085,For sale,6.9,8466.0,11075.0,275,0,23 days before,23 days before,7 days before,2018.09.12,07-07-2018
607166,For sale,6.0,16529.0,16529.0,180,0,23 days before,20 days before,6 days before,2018.09.12,07-07-2018
607176,For sale,7.05,12071.0,17848.0,120,0,23 days before,23 days before,1 days before,2018.09.12,07-07-2018
607177,For sale,7.8,,17257.0,105,0,23 days before,23 days before,1 days before,2018.09.12,07-07-2018
607283,For sale,7.5,12605.0,17281.0,270,0,22 days before,,12 days before,2018.09.12,07-07-2018
607132,For sale,19.0,,12709.0,280,0,23 days before,21 days before,18 days before,2018.09.12,07-07-2018
598022,For sale,24.28,18269.0,23945.0,520,0,36 days before,2 days before,4 days before,2018.08.30,07-07-2018
531572,For sale,6.68,10198.0,13946.0,1357,0,54 days before,54 days before,1 days before,2018.08.12,07-07-2018
595030,For sale,6.3,12524.0,15441.0,405,0,41 days before,39 days before,1 days before,2018.08.25,07-07-2018
607028,For sale,11.8,,13915.0,550,0,23 days before,,18 days before,2018.09.12,07-07-2018
607206,For sale,11.95,,16019.0,180,0,23 days before,21 days before,3 days before,2018.09.12,07-07-2018
565888,For sale,5.35,6738.0,9007.0,375,0,2 months before,55 days before,4 days before,2018.07.12,07-07-2018
597554,For sale,5.35,10388.0,13342.0,271,1,37 days before,7 days before,2 days before,2018.08.29,07-07-2018
548089,For sale,7.8,8986.0,11927.0,835,0,36 days before,23 days before,2 days before,2018.09.28,07-07-2018
607000,For sale,6.38,15753.0,19938.0,170,0,23 days before,,8 days before,2018.09.12,07-07-2018
607289,For sale,9.88,,14529.0,270,0,22 days before,,13 days before,2018.09.12,07-07-2018
585703,For sale,5.8,,18125.0,310,0,55 days before,23 days before,6 days before,2018.08.10,07-07-2018
599934,For sale For rent,4.8,,17844.0,2536,0,33 days before,16 days before,7 days before,2018.09.02,07-07-2018
604099,For sale,7.0,13487.0,17199.0,385,0,27 days before,27 days before,2 hours before,2018.09.08,07-07-2018
598364,For sale,4.88,11296.0,13824.0,250,0,35 days before,22 days before,6 days before,2018.08.30,07-07-2018
606968,For sale,12.6,,12936.0,195,0,23 days before,9 days before,5 days before,2018.09.12,07-07-2018
571723,For sale,3.63,,11902.0,1745,1,2 months before,2 months before,18 days before,2018.07.21,07-07-2018
586671,For sale,2.35,,7833.0,1100,0,54 days before,50 days before,18 days before,2018.08.12,07-07-2018
538746,For sale,6.9,9857.0,,3182,1,45 days before,23 days before,7 days before,2018.08.21,07-07-2018
606965,For sale,6.68,9639.0,11322.0,165,0,23 days before,23 days before,4 days before,2018.09.12,07-07-2018
606973,For sale,5.5,9683.0,11364.0,155,0,23 days before,18 days before,4 days before,2018.09.12,07-07-2018
588897,For sale,10.5,11438.0,15239.0,215,0,51 days before,23 days before,6 days before,2018.08.15,07-07-2018
585695,For sale,8.3,,15285.0,355,0,56 days before,23 days before,6 days before,2018.08.10,07-07-2018
607149,For sale,7.75,11347.0,14933.0,285,0,23 days before,21 days before,3 days before,2018.09.12,07-07-2018
589099,For sale,6.5,,14739.0,666,0,50 days before,16 days before,3 days before,2018.08.15,07-07-2018
598732,For sale,4.38,,13436.0,745,0,35 days before,1 days before,24 hours before,2018.08.31,07-07-2018
485547,For sale,7.38,8859.0,11015.0,1695,0,58 days before,21 days before,58 minutes before,2018.08.07,07-07-2018
606901,For sale,14.0,,12844.0,205,0,23 days before,,18 days before,2018.09.12,07-07-2018
598365,For sale,6.28,,14776.0,315,0,35 days before,35 days before,12 minutes before,2018.08.30,07-07-2018
606953,For sale,4.25,8873.0,12108.0,275,0,23 days before,15 days before,5 days before,2018.09.12,07-07-2018
246071,For sale,6.25,8085.0,10382.0,1669,0,2 months before,23 days before,7 days before,2018.07.15,07-07-2018
597539,For sale,6.0,,18750.0,285,0,37 days before,23 days before,6 days before,2018.08.29,07-07-2018
600281,For sale,8.0,12048.0,15534.0,310,0,32 days before,,6 days before,2018.09.02,07-07-2018
606838,For sale,6.6,9677.0,11807.0,320,0,23 days before,23 days before,2 hours before,2018.09.12,07-07-2018
193643,For sale,6.88,6013.0,8360.0,3471,0,30 months before,22 days before,58 minutes before,2018.08.05,07-07-2018
606890,For sale,7.0,11075.0,14493.0,315,0,23 days before,23 days before,1 days before,2018.09.12,07-07-2018
553910,For sale,5.6,14177.0,19718.0,685,0,23 days before,23 days before,3 days before,2018.09.21,07-07-2018
606864,For sale,6.0,9661.0,12474.0,505,1,23 days before,17 days before,1 days before,2018.09.12,07-07-2018
606897,For sale,14.8,10571.0,,485,0,23 days before,23 days before,8 days before,2018.09.12,07-07-2018
563442,For sale,11.58,,14209.0,815,0,23 days before,23 days before,4 hours before,2018.09.12,07-07-2018
606865,For sale,7.0,10249.0,13514.0,305,0,23 days before,,13 days before,2018.09.12,07-07-2018
606876,For sale,6.6,7980.0,10233.0,270,0,23 days before,23 days before,1 days before,2018.09.12,07-07-2018
606879,For sale,7.5,10094.0,12690.0,380,0,23 days before,23 days before,1 days before,2018.09.12,07-07-2018
606761,For sale,7.65,11417.0,13985.0,295,0,23 days before,23 days before,7 days before,2018.09.12,07-07-2018
568422,For sale,2.15,,6196.0,4751,2,2 months before,43 days before,1 days before,2018.07.16,07-07-2018
606769,For sale,5.18,7731.0,9487.0,235,0,23 days before,,16 days before,2018.09.12,07-07-2018
606999,For sale,7.1,,15743.0,250,0,23 days before,23 days before,18 days before,2018.09.12,07-07-2018
606777,For sale,7.75,12895.0,16012.0,280,0,23 days before,,22 hours before,2018.09.12,07-07-2018
606775,For sale,6.4,9143.0,,570,0,23 days before,4 hours before,22 days before,2018.09.12,07-07-2018
606780,For sale,13.38,9557.0,9557.0,675,1,23 days before,3 days before,3 days before,2018.09.12,07-07-2018
575181,For sale,4.88,9121.0,11647.0,340,0,2 months before,2 months before,8 days before,2018.07.26,07-07-2018
606778,For sale,5.6,12962.0,16327.0,290,0,23 days before,23 days before,7 days before,2018.09.12,07-07-2018
591497,For sale,15.0,15806.0,19634.0,620,0,45 days before,11 days before,11 days before,2018.08.21,07-07-2018
606744,For sale,16.5,,15881.0,245,0,23 days before,23 days before,5 days before,2018.09.12,07-07-2018
606678,For sale,4.88,,10917.0,105,0,23 days before,23 days before,19 hours before,2018.09.12,07-07-2018
606681,For sale,5.3,9601.0,14521.0,335,0,23 days before,23 days before,6 days before,2018.09.12,07-07-2018
606746,,6.48,11408.0,15690.0,950,0,23 days before,23 days before,36 days before,2018.09.12,07-07-2018
606686,For sale,5.0,7194.0,9671.0,230,0,23 days before,17 days before,6 days before,2018.09.12,07-07-2018
606684,For sale,5.28,7987.0,9635.0,200,0,23 days before,23 days before,19 hours before,2018.09.12,07-07-2018
606691,For sale,6.33,,17342.0,450,0,23 days before,14 days before,5 days before,2018.09.12,07-07-2018
606695,For sale,4.05,,16667.0,470,2,23 days before,,6 days before,2018.09.12,07-07-2018
606692,For sale,4.38,,12959.0,180,0,23 days before,19 days before,19 hours before,2018.09.12,07-07-2018
606696,For sale,5.58,7275.0,9824.0,185,0,23 days before,19 days before,19 hours before,2018.09.12,07-07-2018
606697,For sale,6.3,,9633.0,400,0,23 days before,,6 days before,2018.09.12,07-07-2018
606611,For sale,7.15,11051.0,15116.0,126,0,23 days before,23 days before,15 days before,2018.09.11,07-07-2018
606866,For sale,25.0,,11181.0,285,0,23 days before,,18 days before,2018.09.12,07-07-2018
606615,For sale,5.7,9421.0,12179.0,370,0,23 days before,7 days before,5 days before,2018.09.11,07-07-2018
606616,For sale,10.0,,15060.0,290,0,23 days before,23 days before,9 days before,2018.09.11,07-07-2018
604252,For sale,5.95,14268.0,19318.0,506,0,27 days before,5 days before,1 days before,2018.09.08,07-07-2018
590119,For sale,7.0,11182.0,14523.0,650,0,49 days before,21 days before,5 days before,2018.08.17,07-07-2018
600874,For sale,11.5,10286.0,12936.0,260,0,32 days before,23 days before,2 days before,2018.09.03,07-07-2018
606959,For sale,4.55,9027.0,10484.0,130,0,23 days before,23 days before,4 days before,2018.09.12,07-07-2018
606642,For sale,11.5,10286.0,12936.0,225,0,23 days before,23 days before,58 minutes before,2018.09.11,07-07-2018
606638,For sale,4.68,9304.0,11143.0,575,0,23 days before,,4 days before,2018.09.11,07-07-2018
606607,For sale,7.0,11666.0,14614.0,380,0,23 days before,23 days before,7 days before,2018.09.11,07-07-2018
602027,For sale,13.0,10673.0,13963.0,250,0,30 days before,30 days before,4 days before,2018.09.05,07-07-2018
602007,For sale,15.5,10416.0,14117.0,220,0,30 days before,30 days before,4 days before,2018.09.05,07-07-2018
601995,For sale,13.8,10714.0,14053.0,315,0,30 days before,30 days before,4 days before,2018.09.05,07-07-2018
601934,For sale,13.5,,15033.0,185,0,30 days before,30 days before,4 days before,2018.09.05,07-07-2018
606818,For sale,24.0,,17021.0,240,0,23 days before,,18 days before,2018.09.12,07-07-2018
606575,For sale,4.28,9511.0,12442.0,285,0,23 days before,,16 days before,2018.09.11,07-07-2018
544764,For sale,6.18,8655.0,11360.0,1140,0,23 days before,23 days before,16 days before,2018.09.11,07-07-2018
606591,For sale,6.18,10528.0,14439.0,280,0,23 days before,,18 days before,2018.09.11,07-07-2018
606592,For sale,6.9,11675.0,16274.0,140,0,23 days before,23 days before,3 days before,2018.09.11,07-07-2018
606595,For sale,4.42,7741.0,10255.0,390,0,23 days before,,16 days before,2018.09.11,07-07-2018
606694,For sale,4.68,8540.0,12447.0,150,0,23 days before,19 days before,19 hours before,2018.09.12,07-07-2018
606556,For sale,6.38,11272.0,14402.0,310,0,24 days before,5 days before,8 days before,2018.09.11,07-07-2018
597684,For sale,25.0,15625.0,16995.0,525,0,36 days before,24 days before,16 days before,2018.08.29,07-07-2018
577519,For sale,7.28,12794.0,15861.0,560,0,2 months before,11 days before,8 days before,2018.07.29,07-07-2018
580302,For sale,10.68,14183.0,16688.0,580,0,63 days before,11 days before,8 days before,2018.08.02,07-07-2018
580624,For sale,15.88,11676.0,13893.0,445,0,63 days before,22 days before,8 days before,2018.08.03,07-07-2018
606883,For sale,5.78,11267.0,14414.0,285,0,23 days before,23 days before,1 days before,2018.09.12,07-07-2018
606567,For sale,6.5,,11073.0,300,0,23 days before,23 days before,7 days before,2018.09.11,07-07-2018
580889,For sale,4.7,11491.0,17343.0,756,0,62 days before,13 days before,8 days before,2018.08.03,07-07-2018
583679,For sale,5.15,13995.0,21281.0,706,0,58 days before,4 hours before,8 days before,2018.08.07,07-07-2018
602012,For sale,20.0,15860.0,21119.0,145,0,30 days before,30 days before,4 days before,2018.09.05,07-07-2018
598420,For sale,6.4,,14191.0,406,0,35 days before,35 days before,1 days before,2018.08.30,07-07-2018
606510,For sale For rent,7.2,8834.0,11557.0,670,0,24 days before,22 days before,7 days before,2018.09.11,07-07-2018
606881,For sale,5.8,11262.0,14464.0,235,0,23 days before,23 days before,1 days before,2018.09.12,07-07-2018
599058,For sale For rent,6.45,,13217.0,1177,0,34 days before,24 days before,1 days before,2018.09.01,07-07-2018
606212,For sale,11.38,13980.0,17087.0,215,0,24 days before,24 days before,22 days before,2018.09.11,07-07-2018
546859,For sale,5.95,,15995.0,2375,1,24 days before,24 days before,42 minutes before,2018.09.11,07-07-2018
606559,For sale,6.1,,12526.0,170,0,24 days before,,7 days before,2018.09.11,07-07-2018
606522,For sale,7.99,,16577.0,185,0,24 days before,8 days before,1 days before,2018.09.11,07-07-2018
606526,For sale,6.2,8707.0,11191.0,250,0,24 days before,6 days before,24 minutes before,2018.09.11,07-07-2018
597066,For sale,4.0,,16327.0,1878,1,37 days before,23 days before,5 days before,2018.08.28,07-07-2018
565170,For sale,9.95,10195.0,13338.0,618,0,28 days before,24 days before,1 days before,2018.10.06,07-07-2018
475022,For sale,5.65,10971.0,14090.0,1211,0,24 days before,24 days before,1 days before,2018.10.11,07-07-2018
606590,For sale,6.3,12500.0,16800.0,525,0,23 days before,8 hours before,8 hours before,2018.09.11,07-07-2018
