ID,Region,Region Link,Estate,Estate Link,Status,Price,Price per feet(built-up),Price per feet(salesable area),Block and unit number,Floor,Room,Gross area(sq feet),Net floor area(sq feet),Management Fee,Property age(year),Address,Views #,Bookmarked #,Ads or renew date,Modified date,User last login,Expire date,Scrape Date
383291,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Village,https://www.28hse.com/en/buy/estate-4357,For sale,14.80,7047,,,,5 + ,2100,,,,,1253,0,50 days before,50 days before,8 days before,2018.08.16,07-08-2018
446328,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,The Parcville,https://www.28hse.com/en/buy/estate-4252,For sale,6.40,10509,13913,15,,,609,460,,16.0,,1275,1,44 days before,44 days before,5 days before,2018.08.22,07-08-2018
534598,"Fan Ling,Sheung Shui",https://www.28hse.com/en/buy/district-g46,Village,https://www.28hse.com/en/buy/estate-4231,For sale,4.50,6429,7143,,Ground Floor,3,700,630,,8.0,,2192,0,44 days before,33 days before,20 hours before,2018.08.22,07-08-2018
593468,"Tai Po,Tai Wo",https://www.28hse.com/en/buy/district-g45,UpTown Plaza,https://www.28hse.com/en/buy/estate-4135,For sale,7.38,12321,15092,,,,599,489,,27.0,,195,0,44 days before,,5 days before,2018.08.23,07-08-2018
593469,"Tai Po,Tai Wo",https://www.28hse.com/en/buy/district-g45,Classical Gardens,https://www.28hse.com/en/buy/estate-4137,For sale,7.30,,14230,,,,,513,,21.0,,200,0,44 days before,,5 days before,2018.08.23,07-08-2018
593177,"ShaTin,Tai Wai,Fotan",https://www.28hse.com/en/buy/district-g44,The Riverpark,https://www.28hse.com/en/buy/estate-7541,For sale,11.00,16467,21654,,,,668,508,,5.0,,205,0,44 days before,,1 days before,2018.08.22,07-08-2018
587855,Tuen Mun,https://www.28hse.com/en/buy/district-g48,Century Gateway,https://www.28hse.com/en/buy/estate-7282,For sale,14.88,,17343,,,4,,858,,5.0,,440,0,53 days before,16 days before,3 days before,2018.08.14,07-08-2018
588477,Tuen Mun,https://www.28hse.com/en/buy/district-g48,Century Gateway,https://www.28hse.com/en/buy/estate-7282,For sale,5.99,,16102,,High level,1,,372,,4.0,,305,0,52 days before,16 days before,3 days before,2018.08.15,07-08-2018
592561,,,,,For sale,5.60,8000,8000,,Ground Floor,2,700,700,,7.0,,805,0,45 days before,42 days before,5 days before,2018.08.21,07-08-2018
581999,Sham Tseng,https://www.28hse.com/en/buy/district-g56,Seaview Garden,https://www.28hse.com/en/buy/estate-4504,For sale,5.40,,9278,,,,,582,,,,610,0,54 days before,54 days before,6 days before,2018.08.13,07-08-2018
593001,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Emerald Green,https://www.28hse.com/en/buy/estate-5005,For sale,6.50,9475,12357,6座D室,Low level,2,686,526,,8.0,,130,0,45 days before,,45 days before,2018.08.22,07-08-2018
581381,"ShaTin,Tai Wai,Fotan",https://www.28hse.com/en/buy/district-g44,City One Shatin,https://www.28hse.com/en/buy/estate-4080,For sale,5.26,,17303,,,,,304,,31.0,,510,0,62 days before,45 days before,5 days before,2018.08.04,07-08-2018
592502,"ShaTin,Tai Wai,Fotan",https://www.28hse.com/en/buy/district-g44,Pictorial Garden,https://www.28hse.com/en/buy/estate-4085,For sale,8.50,9032,12938,,,,941,657,,25.0,,381,0,45 days before,45 days before,5 days before,2018.08.21,07-08-2018
582424,Sham Tseng,https://www.28hse.com/en/buy/district-g56,Spring Seaview Terrace,https://www.28hse.com/en/buy/estate-4516,For sale,14.80,11220,14203,,,,1319,1042,,28.0,,470,0,61 days before,61 days before,4 days before,2018.08.06,07-08-2018
573739,Sham Tseng,https://www.28hse.com/en/buy/district-g56,Avignon,https://www.28hse.com/en/buy/estate-6011,For sale For rent,17.00,8559,10780,,,,1986,1577,,7.0,,715,0,2 months before,2 months before,4 days before,2018.07.24,07-08-2018
581116,Sham Tseng,https://www.28hse.com/en/buy/district-g56,Avignon,https://www.28hse.com/en/buy/estate-6011,For sale,9.00,7450,9494,,,,1208,948,,7.0,,505,0,63 days before,60 days before,4 days before,2018.08.04,07-08-2018
592510,"ShaTin,Tai Wai,Fotan",https://www.28hse.com/en/buy/district-g44,Ka Tin Court,https://www.28hse.com/en/buy/estate-4129,For sale,5.60,9046,11111,,Mid level,2,619,504,,30.0,,346,0,45 days before,45 days before,4 days before,2018.08.21,07-08-2018
579577,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Casa De Oro ,https://www.28hse.com/en/buy/estate-4282,For sale,8.05,,8703,,,,,925,,19.0,,851,0,2 months before,2 months before,46 minutes before,2018.08.02,07-08-2018
585094,Tsing Yi,https://www.28hse.com/en/buy/district-g51,Grand Horizon,https://www.28hse.com/en/buy/estate-4653,For sale,6.68,10932,14335,,High level,2,611,466,,18.0,,392,0,57 days before,57 days before,1 days before,2018.08.09,07-08-2018
583987,"Fan Ling,Sheung Shui",https://www.28hse.com/en/buy/district-g46,Royal Green,https://www.28hse.com/en/buy/estate-4210,For sale,4.98,9803,13387,,High level,,508,372,,13.0,,1355,0,59 days before,45 days before,7 days before,2018.08.08,07-08-2018
592971,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Yee Fung Garden,https://www.28hse.com/en/buy/estate-4273,For sale,4.88,11244,14833,,,,434,329,,26.0,,431,0,45 days before,45 days before,3 days before,2018.08.22,07-08-2018
592421,Tuen Mun,https://www.28hse.com/en/buy/district-g48,Chi Lok Fa Yuen,https://www.28hse.com/en/buy/estate-4442,For sale,5.72,8499,9795,,,,673,584,,37.0,,355,0,45 days before,45 days before,14 days before,2018.08.21,07-08-2018
588244,"ShaTin,Tai Wai,Fotan",https://www.28hse.com/en/buy/district-g44,Belair Gardens,https://www.28hse.com/en/buy/estate-4088,For sale,7.12,,12714,,,,,560,,,,741,1,52 days before,46 days before,5 days before,2018.08.14,07-08-2018
592274,"Tsuen Wan,Tai Wo Hau",https://www.28hse.com/en/buy/district-g49,Hanley Villa,https://www.28hse.com/en/buy/estate-4629,For sale,6.48,8937,13333,高層開揚,,,725,486,,,,540,0,46 days before,46 days before,23 hours before,2018.08.21,07-08-2018
592256,"Tsuen Wan,Tai Wo Hau",https://www.28hse.com/en/buy/district-g49,Hanley Villa,https://www.28hse.com/en/buy/estate-4629,For sale,10.30,9753,14052,1056,,,1056,733,,,,375,0,46 days before,3 days before,23 hours before,2018.08.21,07-08-2018
592280,"ShaTin,Tai Wai,Fotan",https://www.28hse.com/en/buy/district-g44,Castello,https://www.28hse.com/en/buy/estate-4083,For sale,8.60,11978,15722,,,,718,547,$ 約1100,18.0,,250,0,46 days before,46 days before,6 days before,2018.08.21,07-08-2018
534848,Tuen Mun,https://www.28hse.com/en/buy/district-g48,Villa Pinada House,https://www.28hse.com/en/buy/estate-4450,For sale,9.90,11237,,,,2,881,,,15.0,,2720,1,46 days before,46 days before,46 days before,2018.08.22,07-08-2018
